Topic,Count,BERTopic_Name,Representation,Representative_Docs,Custom_Name_GenAI
8,832,8_sgt_sgt report_report_appeared first,"['sgt' 'sgt report' 'report' 'appeared first' 'appeared first sgt'
 'first sgt report' 'first sgt' 'appeared' 'the post' 'post']","['Mark Dice loaded It Happening The post It Happening appeared first SGT Report'
 'JustInformed Talk The post TRUTH About The MEDIA The FBI appeared first SGT Report'
 'Stefan Molyneux The post The Truth About Coronavirus NEWS appeared first SGT Report']",SGT Report Articles
9,3596,9_mueller_fbi_trump_clinton,"['mueller' 'fbi' 'trump' 'clinton' 'obama' 'comey' 'state' 'barr'
 'deep state' 'deep']","['True Pundit A mystery case front United States Supreme Court appears tied Special Counsel Robert Mueller team desire subpoena company connection Mueller investigation whether Russian officials conspired Trump campaign influence outcome presidential The post Supreme Court Blocks Mystery Mueller Subpoena appeared first SGT Report'
 'Re SCORCHED EARTH Trump Orders DOJ Release All Text Messages Relating Russia Probe Comey McCabe Ohr Page St Trump Orders Declassification Of Key Russia Docs Loads Of Text Messages September By Rachel Stoltzfoos The declassification order includes Carter Page spy warrant FBI notes Page Bruce Ohr texts James Comey others FBI Justice Department'
 'Dean James DC Clothesline Judicial Watch New Emails Reveal FBI Gave Special Treatment Hillary Clinton Demands Email Investigation Information Just Before Election Washington DC Judicial Watch announced today received pages disgraced former FBI officials Peter Page emails show General Counsel James Baker instructing FBI officials expedite release The post Bombshell Document Dump Proves FBI Tried To Rig Election For Hillary appeared first SGT Report']",Trump Deep State
2,1802,2_border_illegal_wall_trump,"['border' 'illegal' 'wall' 'trump' 'mexico' 'immigration' 'migrants'
 'border wall' 'caravan' 'aliens']","['Joe Biden planning dismantle legal wall United border President Trump constructed ensures reduction illegal immigration asylum agreements Mexico Central America'
 'Invasion Caravan Rejects Job Offers Mexico Demand White America give Money The nonwhite invasion caravan bottled Mexican border town Tijuana rejected offer Mexican authorities take job opportunities immediately available instead renewed demand white American taxpayers give money food accommodation'
 'Cost Border Wall Less Than Cost Illegal Immigration']",Border Wall Debate
27,374,27_college_school_students_schools,"['college' 'school' 'students' 'schools' 'education' 'teachers' 'colleges'
 'public' 'public schools' 'university']","['Campus Wokesters Expose The Descent Of Liberalism Into A Maw Of Delusion Bad Faith The Oberlin case piece widespread dishonest despotic sadistic behavior syndrome roiled college campuses country infected every corner national life'
 'Free Tuition Forgiving Student Debt Not Save Radical College Faculty The Law Unintended Consequences ready teach lesson left wing college faculty members Democrat allies want shower trillion dollars customers higher education'
 'Tearing Down KIPP Charter Schools By Destroying Discipline The charter school chain KIPP good work getting inner city black Latino kids graduate high school emphasizing discipline hard work fundamentals']",Education Politics
6,915,6_climate_climate change_change_warming,"['climate' 'climate change' 'change' 'warming' 'global warming' 'global'
 'california' 'weather' 'solar' 'the']","['YET ANOTHER CLIMATE CHANGE'
 'Matt Agorist The Free Thought Project It reported month top climate change scientist National Oceanic Atmospheric Administration received million funding Congress along permission study two highly controversial geoengineering methods attempt cool Earth'
 'Humans Are Free It reported month top climate change scientist National Oceanic Atmospheric Administration received million funding Congress along permission study two highly controversial geoengineering methods attempt cool Earth']",Climate Change Funding
11,818,11_facebook_google_tech_twitter,"['facebook' 'google' 'tech' 'twitter' 'social media' 'social' 'censorship'
 'media' 'big tech' 'big']","['Snowden Warns Big Tech Will Indenture Entire Populations Into Servitude To Corps Govts Tech giants Google Facebook store vast amounts personal data gain also happy hand data governments making people vulnerable persecution Edward Snowden warned interview RT'
 'It Time For The FEDS To Charge Twitter Facebook Google And YouTube With Election Meddling And Racketeering As Tech Purge Of Conservatives Continues Ahead Of Election'
 'Google Bosses Have Far Too Much Power Decide What Americans Know Their Censorship Is Completely Early yesterday morning I received worried note one regular columnists saying website longer came Google search results Russia Insider Google Facebook top gatekeepers global Internet early May purged us Facebook blocking content Google pages']",Big Tech Censorship
24,551,24_christians_christianity_pope_christian,"['christians' 'christianity' 'pope' 'christian' 'church' 'religion'
 'francis' 'pope francis' 'vatican' 'god']","['Re How feel christianity christians I love My Lord Jesus Christ I hate organised religion'
 'Where Banjo Billy really needed How come one thread mentioned WWWM What true Christian opposed Christian Which Bible true translation Are Bibles true translations What difference Why racial identity involved religion Can religious doctrine teaching practice belief system either encourages tolerates egalitarianism form ever acceptable Regardless name'
 'As far Lonesome Rhodes claiming Christianity became world first multicultural religion I guess missed pagan multicultural goddess ht Isis A Goddess July By Vivianne Crowley Comments To Isis Bestower Wealth Queen Gods Speaker Wisdom Omnipotent Lady Agathe Tyche greatly renowned Isis Heaven Earth gusts winds sun sweet light All live boundless earth invoke fair name honored among Syrians honor Astarte Artemis Nanaia Lycians Leto Lady Thracians name Mother Gods Greeks Hera Great Throne Aphrodite noble Hestia Rhea Demeter']",Christianity & Religion
7,1227,7_the_fed_market_bank,"['the' 'fed' 'market' 'bank' 'banks' 'global' 'financial' 'money' 'debt'
 'economy']","['The Money GPS The post IMF World Bank Prepare For Financial Crisis Level Stimulus Global Economy Massive SLOWDOWN appeared first SGT Report'
 'Michael Pento Market Oracle Last week wrote global central banks created economic time machine forcing trillion worth bond yields zero percent entire developed world supply'
 'The Money GPS The post Will Central Banks Be Forced To Buy Entire Stock Market Debt Real Estate appeared first SGT Report']",Global Central Banks
3,1740,3_israel_iran_syria_us,"['israel' 'iran' 'syria' 'us' 'israeli' 'trump' 'war' 'russia' 'saudi'
 'attack']","['Netanyahu Killing Gaza protesters wise decision April Israel Prime Minister Benjamin Netanyahu said Israel used force wisely Gaza Strip Israeli soldiers killed Palestinians near eastern fence besieged enclave'
 'White House Reviews Military Plans Against Iran Echoes Iraq War WASHINGTON At meeting President Trump top national security aides last Thursday Acting Defense Secretary Patrick Shanahan presented updated military plan envisions sending many troops Middle East Iran attack American forces accelerate work nuclear weapons administration officials said'
 'Stefan Stanford All News Pipeline Experts Warned Iran May Also Use Latin American Countries As Launching Pad To Attack America With tensions US Iran heating big time Pentagon sends assault ship Patriot missiles Middle East following reports potential Iranian threat US partner ships The post Why A War Against Iran May Bring Bloody Terror All Across America Iranian Sleeper Cells Are Already Here Some Embedded For Decades Poised To Launch Terror Attacks appeared first SGT Report']",Middle East Tensions Wars
0,10136,0_socialism_lesson_applied socialism_practical,"['socialism' 'lesson' 'applied socialism' 'practical'
 'practical lesson applied' 're practical' 'lesson applied'
 'practical lesson' 'lesson applied socialism' 're practical lesson']","['Re A Practical Lesson Applied Socialism The Horrors Collectivism Freedom Leftism youtube'
 'Re A Practical Lesson Applied Socialism The Horrors Collectivism Freedom Leftism Trump The U'
 'Re A Practical Lesson Applied Socialism The Horrors Collectivism Freedom Leftism No']",Applied Socialism
14,569,14_epstein_jeffrey epstein_jeffrey_sex,"['epstein' 'jeffrey epstein' 'jeffrey' 'sex' 'maxwell' 'pedophile'
 'suicide' 'case' 'epstein case' 'ghislaine']","['ONE OF CONVICTED PEDOPHILE JEFFREY EPSTEIN S SEX SLAVES SAYS SHE PERSONALLY SAW FORMER PRESIDENT BILL CLINTON ON ORGY ISLAND WITH TWO YOUNG GIRLS'
 'Ghislaine Maxwell widely alleged accomplice deceased pedophile Jeffrey Epstein revealed married trial assisting Epstein child sex trafficking network'
 'Mary Margaret Olohan The Daily Caller Alleged former sex slave Virginia Giuffre taunted convicted sex offender Jeffrey Epstein cohort Ghislaine Maxwell tweet since deleted asking Maxwell Like view Maxwell accused involvement Epstein crimes young women arrested FBI early July More SGT Report']",Epstein Maxwell Sex Scandal
15,485,15_women_men_transgender_gender,"['women' 'men' 'transgender' 'gender' 'feminism' 'feminist' 'masculinity'
 'to' 'sex' 'lgbt']","['Dr Susan Berry Breitbart A federal judge allowing lawsuit transgender facilities school district proceed warned government allows boys claim female use girls bathrooms locker rooms girls right visual bodily privacy'
 'Lianne Laurence Life Site News VANCOUVER July LifeSiteNews Canadian transgender activist Jonathan Jessica Yaniv biologically born male claims female Township Langley council tonight asking permission host topless LGBT swim parties people aged municipality public swimming The post Man identifies female asks city approve LGBT pool party topless parents appeared first SGT Report'
 'Stefan Stanford All News Pipeline As woman believes equality understanding biological differences make men women different physical level group different strengths weaknesses balance I spoken modern day feminism become The post Feminism Infanticide Forever Entwined As Radical Progressive Feminists Applaud Democrats Blocking Born Alive Abortion Survivors Protection Act appeared first SGT Report']",Transgender Rights and Feminism
4,1184,4_brexit_eu_farage_europe,"['brexit' 'eu' 'farage' 'europe' 'yellow' 'merkel' 'macron' 'italy'
 'european' 'france']","['Salvini Backs Yellow Vests Against Macron Claims French President Against His People'
 'Brexit Leader Farage Says EU Elections First Step Changing Politics For Good'
 'Re Brexit Leader Farage Says EU Elections First Step Changing Politics For Good May Bring Brexit Deal Fourth Vote Tories Fear EU Election Carnage']",EU Elections and Brexit Leaders
1,2606,1_trump_democrats_pelosi_biden,"['trump' 'democrats' 'pelosi' 'biden' 'election' 'impeachment' 'president'
 'democrat' 'joe' 'joe biden']","['Chris Menahan Information Liberation Joe Biden got shocking advantage Donald Trump absentee ballots Pennsylvania advantage Michigan according data compiled Thursday received similar massive advantage swing states like Ohio North Carolina Florida Minnesota'
 'Fraud Thousands illegal votes identified Trump campaign Nevada Biden win begins collapse On Friday garbage mainstream media collectively declared Joe Biden next president United States This declaration came despite fact vote counting continues states Trump campaign busy filing lawsuits litigating appears coordinated effort Democrats steal election'
 'Speaker Nancy Pelosi announced House launching formal impeachment inquiry President Trump setting dramatic constitutional clash year presidential election']",2020 Election Fraud Impeachment
10,828,10_gun_guns_gun control_shooting,"['gun' 'guns' 'gun control' 'shooting' 'control' 'police' 'mass' 'shot'
 'chicago' 'shootings']","['True Pundit Hours fired police officer charged felony murder fatally shooting man back Atlanta police officers responding calls three zones multiple sources within Atlanta Police Department confirm'
 'Chicago Nonwhite Crime Disaster Shuts Down Hospital Mass Murder Weekend One Chicago major hospitals forced temporarily shut doors new patients last weekend overrun wounded victims following nonwhite gun crime spree saw shootings seven fatalities'
 'The Facts About Mass Shootings Support Gun Ownership Not Gun Control']",Gun control and police shootings
20,400,20_vaccine_vaccines_measles_vaccination,"['vaccine' 'vaccines' 'measles' 'vaccination' 'flu' 'children' 'autism'
 'mandatory' 'vaccinated' 'cdc']","['Re The US Gov lost lawsuit RF Kennedy Jr NOT able show vaccines safe OR effective US GOOBERNMENT LOSES VACCINE LAWSUIT gizadeathstar'
 'Re The US Gov lost lawsuit RF Kennedy Jr NOT able show vaccines safe OR effective parents file lawsuit suspend vaccine mandate'
 'Sayer Ji Green Med Info How many measles cases like one reported New Hampshire acknowledged Department Health Human Services caused MMR vaccine yet blamed unvaccinated A case falsely identified measles caused MMR vaccine reported New Hampshire Union Leader The post Measles Caused MMR Vaccine Reaction Acknowledged NH State Officials appeared first SGT Report']",Vaccine Lawsuit Losses
5,1067,5_thread_re_you_pictures,"['thread' 're' 'you' 'pictures' 'pictures thread' 'funny' 'this' 'know'
 'it' 'the']","['Re Funny Pictures Thread rioters'
 'Re Funny Pictures Thread Every time I read post kramer I think'
 'Re Cool Pictures Thread Much imgur']",Funny Pictures Threads
22,332,22_america_the_world_empire,"['america' 'the' 'world' 'empire' 'globalists' 'of' 'war' 'global'
 'american' 'is']","['Stefan Stanford All News Pipeline In recent story Guardian report historical global deal reached manage intentionally manufactured immigration crisis delegates different nations approving pact despite vociferous objections President Trump United States votes also Austria Australia Chile The post If The UN Has Their Way America Will Be Transformed Into Skid Row Million Adults Want To Leave Their Countries And The USA Is The Most Desired Destination appeared first SGT Report'
 'WAKE UP The real globalist plan merely overthrow America overthrow Earth Wednesday December Mike Adams Tags atmosphere battle chemtrails cosmic Earth evil extinction freedom Globalism globalists humanity humans Liberty terraforming Views Natural News When people get awakened truth happening world tend think small'
 'Stefan Stanford All News Pipeline Middle East Powder Keg On The Edge Of Colossal Carnage Over past several years ANP documenting fall Europe called tyranny inthis October th story Conservative Review titled Look fate America first sentence sums America The post Western Civilization Is A Dead Man Walking As Truth Become Treason In The European Empire Of Lies Behold America This Fate Awaits Us appeared first SGT Report']",Global Empire War
16,590,16_jews_jewish_jew_holocaust,"['jews' 'jewish' 'jew' 'holocaust' 'the jews' 'the' 'the jewish' 're'
 're the' 'using very same']","['The Star David national symbol modernday Ashkenazi Jew state Israel ancient pagan symbol connection Judaism Jewish population th century AD Khazaria actually called David Alroy In twelfth century according Hebrew Wikipedia David Alroy born Menahem Ben Shlomo Alroy proclaimed Messiah'
 'Re Neocons ADMIT They Will Lie Us Into War The Talmud says Jews lie Jewish plans objectives get Jew want'
 'buy ca afford Defiant shop owner refuses stop selling German war memorabilia fetches piece amid calls Jewish leaders ban trade Matt Robinson claims afford calibre items sells Some Nazi items sell anywhere single piece Swastika flags portraits Adolf Hitler Nazi weapons grabs Mr Robinson family bombed Germans England Blitz The shop owner condemned Nazis refuses stop selling items Jewish leaders condemned sale Nazi items called ban Wayne Flower Daily Mail UK January dailymail']",20th Century Jewish History
13,750,13_gold_silver_report_the post,"['gold' 'silver' 'report' 'the post' 'sgt report' 'sgt' 'appeared' 'post'
 'appeared first' 'appeared first sgt']","['Silver Doctors The post Making Sense Of A Crazy Week In Gold Silver Markets Economy appeared first SGT Report'
 'Silver Fortune The post Silver Gold appeared first SGT Report'
 'Silver Fortune loaded Why Gold Silver Ratio So High The post Why Gold Silver Ratio So High appeared first SGT Report']",Gold Silver Ratio
12,642,12_china_trade_chinese_trump,"['china' 'trade' 'chinese' 'trump' 'tariffs' 'us' 'trade war' 'war' 'to'
 'beijing']","['After Long And Very Good Call With Xi Trump Says China Trade Deal Moving Along Well'
 'Just second day trade talks US Chinese delegations Beijing beginning surprising report crossed wire North Korean leader Kim Jong Un invited travel China first time since June meet President Xi Jinping'
 'China Says That There Will NEVER Be A Trade Deal Until The U']",US Trade War
18,571,18_white_racist_white people_race,"['white' 'racist' 'white people' 'race' 'black' 'people' 'whites' 'racism'
 'privilege' 'the']","['Re Pack Your Bags For Alaska Welcome To The New White People Republic In south I live whites waiting chance take matters hands'
 'White Hate Spewed By Don Lemon On CNN A Black Racist Bigot'
 'White Hate Spewed By Don Lemon On CNN A Black Racist Bigot Who Proves Racism Permeates The MSM They Hate White Male Christian Conservatives']",White Racism Follow
21,645,21_cancer_monsanto_pharma_drug,"['cancer' 'monsanto' 'pharma' 'drug' 'big pharma' 'glyphosate' 'found'
 'health' 'cannabis' 'vitamin']","['Sayer Ji Green Med Info Many diabetics already know benefits diet need regular exercise heard turmeric one world extensively researched plants A recent literature review published International Journal Endocrinology Metabolism titled Effect Insulin Sensitizing Effects The post Why All Diabetics Should Know About Turmeric appeared first SGT Report'
 'Sayer Ji Green Med Info Sometimes called sunshine vitamin found high levels citrus fruits vitamin C uniquely regenerative role hormone health cancer prevention overlooked twenty years Truly groundbreaking research regenerative potential vitamin C therapy hormone The post Sunshine Vitamin Regenerates Detoxifies Your Hormones appeared first SGT Report'
 'Sayer Ji Green Med Info Pushed globally beneficial dieters since approval accumulating research indicates aspartame may actually damage brain cause cancer name wide range adverse health effects consumers risk using sugar alternative']",Diabetes and Health
25,662,25_media_news_cnn_fake news,"['media' 'news' 'cnn' 'fake news' 'fake' 'mainstream' 'trump' 'the'
 'mainstream media' 'msm']","['Media Narrative Busted As Liberal MSM Writer Flubs Yet Another Orange Man Bad Viral Report That Spurned A Fake News Frenzy By The MSM'
 'Susan Duclos All News Pipeline NBC News working months longer hit piece website The Epoch Times independent media outlet NBC describes By numbers bigger advocate President Donald Trump Facebook stating The Epoch Times wields one The post MSM Declares War On Independent Media NBC Targets The Epoch Times Who Has Biggest Social Media Following Of Any News Outlet appeared first SGT Report'
 'Panodrama An Exposé Fake News BBC Tommy Robinson BBC working alongside radical far left organisation Panorama take Tommy Robinson Blackmailing former employees invent stories Hope Hate set BBC calling shots intimidating interview The post MUST WATCH THIS How Mainstream Media BBC Manufactures FAKE NEWS HIT PIECES appeared first SGT Report']",Mainstream Media and Fake News
30,340,30_coronavirus_virus_pandemic_outbreak,"['coronavirus' 'virus' 'pandemic' 'outbreak' 'wuhan' 'health' 'disease'
 'ebola' 'the' 'world']","['Chinese Death Virus Timeline Australia Disease first brought Australia China Chinese Students infect universities Disease suddenly overruns Muslim countries Middle East biological attack Muslims spread disease community Australia eradicates virus Muslims newly arrived overseas refuse remain quarantine Infection spreads Muslim Arab African community Infected Muslims join Black Lives Matter protests Disease spreads Victoria New South Wales Queensland creating second wave Chinese Death Virus South Australia West Australia Tasmania lower Chinese Muslims populations'
 'Tim Stickings Daily Mail Iran deputy health minister Iraj Harirchi placed quarantine testing positive coronavirus Comes day sweated way press conference insisting outbreak control Iran officially declared cases deaths fears true number The post Iran deputy HEALTH minister tests positive coronavirus looking shaky unwell played outbreak dangers death toll rises cases exported around Middle East appeared first SGT Report'
 'How Woodstock still went ahead Hong Kong flu pandemic killed Americans infected everyone President Lyndon Johnson Apollo crew even Shamu killer whale The Hong Kong flu pandemic caused HN virus killed Americans million people worldwide virus spread US troops returning home Vietnam War More Americans died Hong Kong flu pandemic combined number US causalities Vietnam Korean also killed many people Berlin corpses stored subway tunnels As today HN deadlier current death toll though expected surpass number killed pandemic Both Tallulah Bankhead CIA Director Allen Dulles died Hong Kong Flu vir']",Coronavirus Pandemic
28,197,28_stormfront_stormfront sucks_re stormfront sucks_re stormfront,"['stormfront' 'stormfront sucks' 're stormfront sucks' 're stormfront'
 'sucks' 're' 'sf' 'stormfront re' 'people leave stormfront'
 'leave stormfront']","['Re Stormfront sucks There world'
 'We need Holocaust education every school world revision SF Moderator Lifetime Friend Stormfront Sustaining Member Join Date Aug stormfront'
 'Re Stormfront sucks Found post']",Stormfront Criticism
23,281,23_abortion_planned parenthood_parenthood_planned,"['abortion' 'planned parenthood' 'parenthood' 'planned' 'babies' 'baby'
 'abortions' 'bill' 'democrats' 'to']","['What Does Planned Parenthood Do With Babies That Survive Abortions'
 'Planned Parenthood Sues Trump Administration Over New Abortion Rule'
 'Yes Planned Parenthood harvests body parts LIVING human babies meaning abortion advocates really support extreme cruelty murder conscious babies']",Planned Parenthood Abortion
29,192,29_assange_julian_julian assange_wikileaks,"['assange' 'julian' 'julian assange' 'wikileaks' 'us' 'wikileaks founder'
 'ecuador' 'founder' 'founder julian' 'founder julian assange']","['WikiLeaks quoted Ecuadorian government source saying Julian Assange could imminently expelled Ecuador London embassy Quito agreement UK arrest'
 'WikiLeaks Kristinn Hrafnsson alleged extensive spying operation conducted WikiLeaks founder Julian Assange time Ecuadorian Embassy London'
 'Julian Assange No Longer WikiLeaks']",Julian Assange Expulsion
26,337,26_antifa_portland_police_violence,"['antifa' 'portland' 'police' 'violence' 'protesters' 'proud' 'video'
 'man' 'boys' 'proud boys']","['Re VIDEO Quillette Editor Andy Ngo Violently ATTACKED AND ROBBED By Antifa Portland As Police Watch Do Nothing Portland injun country'
 'Re VIDEO Quillette Editor Andy Ngo Violently ATTACKED AND ROBBED By Antifa Portland As Police Watch Do Nothing Portland little commie jew bastard country'
 'VIDEO Quillette Editor Andy Ngo Violently ATTACKED AND ROBBED By Antifa Portland As Police Watch Do Nothing']",Antifa Portland Attacks Journalist
17,442,17_kavanaugh_ford_christine_brett,"['kavanaugh' 'ford' 'christine' 'brett' 'brett kavanaugh' 'accuser'
 'blasey' 'blasey ford' 'christine ford' 'kavanaugh accuser']","['Lindsey Graham Who Paying Christine Blasey Ford Attack Judge Kavanaugh VIDEO'
 'Kavanaugh accuser Christine Blasey Ford NOT contacted FBI investigators'
 'Grassley Kavanaugh Accuser Christine Blasey Ford Not Confirmed Hearing Ignoring Efforts Contact']",Kavanaugh Accuser
19,398,19_youtube_music_favorite_what favorite,"['youtube' 'music' 'favorite' 'what favorite' 'what favorite music'
 'favorite music' 're what favorite' 're what' 'youtube re' 'what']","['Re What favorite music I Love To Change The World Ten Years After youtube'
 'Re What favorite music To listen Like youtube'
 'Re What favorite music youtube']",Favorite Music Youtube
